cpu0;avg_rtt_a1;avg_rtt_a2;avg_loss_a1;avg_loss_a2;r_a1;r_a2
0.0;0.0;0.0;0.0;0.0;0;0
4.95;0.0;0.0;0.0;0.0;0;0
9.89;0.0;0.0;0.0;0.0;0;0
14.78;0.0;0.0;0.0;0.0;0;0
19.69;0.0;0.0;0.0;0.0;0;0
23.41;0.0;0.0;0.0;0.0;0;0
25.82;0.0;0.0;0.0;0.0;0;0
29.41;0.0;0.0;0.0;0.0;0;0
29.7;0.0;0.0;0.0;0.0;0;0
31.49;0.0;0.0;0.0;0.0;0;0
35.49;0.0;0.0;0.0;0.0;0;0
40.11;0.0;0.0;0.0;0.0;0;0
44.72;0.0;0.0;0.0;0.0;0;0
49.35;0.0;0.0;0.0;0.0;0;0
53.98;0.0;0.0;0.0;0.0;0;0
58.59;0.0;219.31;0.0;0.0;0;1
63.2;0.0;219.35;0.0;0.0;0;1
67.83;0.0;219.36;0.0;0.0;0;1
72.48;0.0;219.26;0.0;0.0;0;1
77.12;0.0;219.22;0.0;0.0;0;1
81.73;0.0;220.26;0.0;0.0;0;1
86.36;0.0;219.17;0.0;0.0;0;1
91.0;0.0;219.23;0.0;0.0;0;1
95.63;0.0;219.3;0.0;0.0;0;1
100.23;0.0;220.09;0.0;0.0;0;1
104.86;0.0;219.35;0.0;0.0;0;1
109.47;0.0;220.22;0.0;0.0;0;1
114.09;0.0;219.36;0.0;0.0;0;1
118.67;0.0;219.5;0.0;0.0;0;1
123.29;0.0;219.32;0.0;0.0;0;1
127.91;0.0;219.35;0.0;0.0;0;1
132.55;0.0;219.35;0.0;0.0;0;1
137.12;0.0;219.27;0.0;0.0;0;1
141.76;0.0;219.17;0.0;0.0;0;1
146.37;0.0;219.3;0.0;0.0;0;1
150.99;0.0;219.35;0.0;0.0;0;1
155.59;0.0;219.35;0.0;0.0;0;1
160.23;0.0;220.27;0.0;0.0;0;1
164.83;0.0;219.3;0.0;0.0;0;1
169.43;0.0;219.35;0.0;0.0;0;1
174.03;0.0;219.39;0.0;0.0;0;1
178.68;0.0;220.17;0.0;0.0;0;1
183.31;0.0;219.36;0.0;0.0;0;1
187.96;0.0;220.26;0.0;0.0;0;1
192.84;0.0;220.13;0.0;0.0;0;1
197.48;0.0;219.39;0.0;0.0;0;1
202.09;0.0;220.23;0.0;0.0;0;1
206.67;0.0;220.09;0.0;0.0;0;1
211.29;0.0;219.22;0.0;0.0;0;1
215.92;0.0;219.3;0.0;0.0;0;1
220.49;0.0;219.26;0.0;0.0;0;1
225.3;0.0;219.36;0.0;0.0;0;1
229.9;0.0;219.26;0.0;0.0;0;1
234.53;0.0;220.17;0.0;0.0;0;1
239.18;0.0;220.09;0.0;0.0;0;1
243.79;0.0;219.35;0.0;0.0;0;1
248.4;0.0;219.32;0.0;0.0;0;1
