time;cpu0;avg_rtt;avg_rtt_a1;avg_rtt_a2;avg_upstream;avg_loss;avg_loss_a1;avg_loss_a2;#robots;#r_act1;#r_act2
1639647530.911;1309420.95;217.7;0.0;217.7;1.18;0.0;0.0;0.0;1;0;1
1639647608.562;1309434.87;216.8;0.0;216.8;1.37;0.0;0.0;0.0;1;0;1
1639647623.562;1309448.79;215.5;0.0;215.5;1.27;0.0;0.0;0.0;1;0;1
1639647638.562;1309462.78;215.9;0.0;215.9;1.44;0.0;0.0;0.0;1;0;1
1639647653.562;1309476.77;216.4;0.0;216.4;1.31;0.0;0.0;0.0;1;0;1
1639647668.562;1309490.74;218.4;0.0;218.4;1.47;0.0;0.0;0.0;1;0;1
1639647683.563;1309504.68;216.7;0.0;216.7;1.36;0.0;0.0;0.0;1;0;1
1639647698.563;1309518.64;215.5;0.0;215.5;1.29;0.0;0.0;0.0;1;0;1
1639647713.564;1309532.57;214.7;0.0;214.7;1.32;0.0;0.0;0.0;1;0;1
1639647728.563;1309546.51;214.5;0.0;214.5;1.26;0.0;0.0;0.0;1;0;1
1639647743.564;1309560.47;216.8;0.0;216.8;1.3;0.0;0.0;0.0;1;0;1
1639647758.564;1309574.43;214.3;0.0;214.3;1.39;0.0;0.0;0.0;1;0;1
1639647773.564;1309588.4;216.2;0.0;216.2;1.25;0.0;0.0;0.0;1;0;1
1639647788.565;1309602.36;216.3;0.0;216.3;1.34;0.0;0.0;0.0;1;0;1
1639647803.565;1309616.33;216.0;0.0;216.0;1.42;0.0;0.0;0.0;1;0;1
1639647818.566;1309630.3;217.0;0.0;217.0;1.31;0.0;0.0;0.0;1;0;1
1639647833.566;1309644.26;214.2;0.0;214.2;1.2;0.0;0.0;0.0;1;0;1
1639647848.566;1309658.12;217.1;0.0;217.1;1.2;0.0;0.0;0.0;1;0;1
1639647863.568;1309663.32;214.7;0.0;214.7;1.52;0.0;0.0;0.0;1;0;1
1639647878.568;1309671.66;215.8;0.0;215.8;1.51;0.0;0.0;0.0;1;0;1
1639647893.569;1309684.7;121.65;29.8;213.5;1.31;0.0;0.0;0.0;2;0;1
1639647908.569;1309697.89;120.9;27.7;214.1;1.34;0.0;0.0;0.0;2;1;1
1639647923.569;1309711.1;124.9;32.2;217.6;1.25;0.0;0.0;0.0;2;1;1
1639647938.573;1309724.34;123.5;30.7;216.3;1.35;0.0;0.0;0.0;2;1;1
1639647953.569;1309733.14;121.95;29.6;214.3;1.31;0.03;0.05584;0.0;2;1;1
1639647968.57;1309746.37;122.15;29.3;215.0;1.18;0.02;0.04382;0.0;2;1;1
1639647983.569;1309759.58;121.75;28.5;215.0;1.21;0.02;0.03588;0.0;2;1;1
1639647998.569;1309772.8;122.2;28.1;216.3;1.22;0.02;0.03042;0.0;2;1;1
1639648013.57;1309785.96;124.85;31.7;218.0;1.27;0.01;0.02634;0.0;2;1;1
1639648028.571;1309799.22;122.35;29.8;214.9;1.29;0.01;0.02337;0.0;2;1;1
1639648043.572;1309812.36;124.0;30.7;217.3;1.25;0.01;0.02095;0.0;2;1;1
1639648058.572;1309825.55;124.35;31.6;217.1;1.33;0.01;0.01903;0.0;2;1;1
1639648073.574;1309838.81;123.5;29.3;217.7;1.29;0.01;0.0174;0.0;2;1;1
1639648088.574;1309852.05;123.65;28.8;218.5;1.5;0.01;0.01599;0.0;2;1;1
1639648103.575;1309865.23;123.5;30.1;216.9;1.17;0.01;0.01479;0.0;2;1;1
1639648118.573;1309878.45;123.25;31.0;215.5;1.26;0.01;0.0138;0.0;2;1;1
1639648133.574;1309891.71;122.4;29.3;215.5;1.18;0.01;0.01921;0.0;2;1;1
1639648148.574;1309904.95;124.05;31.4;216.7;1.19;0.01;0.02432;0.0;2;1;1
1639648163.575;1309912.11;121.65;28.4;214.9;1.54;0.01;0.023;0.0;2;1;1
1639648178.576;1309916.56;124.4;31.2;217.6;1.56;0.01;0.02174;0.0;2;1;1
1639648193.576;1309928.95;154.97;30.9;217.0;1.33;0.01;0.02067;0.0;3;1;1
